Problem, POM3A , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 1253951.7736 , IQR-HV, 21733.833725 , Median-spreads, 0.52394800689 , IQR-spreads, 0.0399888112121 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 1260062.92695 , IQR-HV, 23306.3769 , Median-spreads, 0.536882419255 , IQR-spreads, 0.068436222842 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 1265573.35485 , IQR-HV, 28905.753175 , Median-spreads, 0.493414359109 , IQR-spreads, 0.0498886467856 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 1266910.7749 , IQR-HV, 21327.390125 , Median-spreads, 0.537112153783 , IQR-spreads, 0.0609808110386 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 1253474.7031 , IQR-HV, 20692.547925 , Median-spreads, 0.490604197529 , IQR-spreads, 0.0359035625943 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 1251486.241 , IQR-HV, 21945.00305 , Median-spreads, 0.543879347663 , IQR-spreads, 0.0784125172285 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 1243722.72285 , IQR-HV, 18409.586525 , Median-spreads, 0.546726960175 , IQR-spreads, 0.053831781249 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 1261092.6734 , IQR-HV, 31416.24465 , Median-spreads, 0.537088079278 , IQR-spreads, 0.0350691571458 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 1262685.4153 , IQR-HV, 19293.095975 , Median-spreads, 0.484408938348 , IQR-spreads, 0.0603088989734 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 1258325.5585 , IQR-HV, 13166.708325 , Median-spreads, 0.558113757015 , IQR-spreads, 0.0513891993734 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 1257647.9424 , IQR-HV, 24551.5403 , Median-spreads, 0.487604421694 , IQR-spreads, 0.0301597692901 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 1262965.8275 , IQR-HV, 19420.30735 , Median-spreads, 0.514900872066 , IQR-spreads, 0.0495584278301 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3A , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 1259486.53385 , IQR-HV, 28910.43365 , Median-spreads, 0.503461046025 , IQR-spreads, 0.0493087217112 , Median-PFS, 100.0 , IQR-PFS, 0.0
